backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
600M,chip_042_092_merged.tif,0.2,0,406649076,50,37.7065,40.4363,2.7299
600M,chip_042_092_merged.tif,0.2,1,2074187206,50,38.4044,40.2092,1.8047
600M,chip_042_092_merged.tif,0.2,2,1693580575,50,34.5701,40.2907,5.7206
600M,chip_042_092_merged.tif,0.2,3,1312973944,50,29.7431,38.9108,9.1678
600M,chip_042_092_merged.tif,0.2,4,833028426,50,29.3421,40.1937,10.8515
600M,chip_042_092_merged.tif,0.4,0,1488857654,100,32.7367,39.3264,6.5897
600M,chip_042_092_merged.tif,0.4,1,1108251023,100,31.8602,35.442,3.5818
600M,chip_042_092_merged.tif,0.4,2,727644392,100,37.0961,39.5448,2.4487
600M,chip_042_092_merged.tif,0.4,3,247698874,100,34.8883,39.5719,4.6836
600M,chip_042_092_merged.tif,0.4,4,2014575891,100,31.2388,40.2753,9.0365
600M,chip_042_092_merged.tif,0.6,0,1650219184,154,29.6829,37.4595,7.7766
600M,chip_042_092_merged.tif,0.6,1,1170273666,154,29.6837,35.9596,6.2759
600M,chip_042_092_merged.tif,0.6,2,789667035,154,30.8546,38.478,7.6234
600M,chip_042_092_merged.tif,0.6,3,309721517,154,29.684,38.0372,8.3533
600M,chip_042_092_merged.tif,0.6,4,2076598534,154,30.9622,38.0245,7.0623
600M,chip_042_092_merged.tif,0.8,0,1167626988,208,30.2497,35.0983,4.8486
600M,chip_042_092_merged.tif,0.8,1,687681470,208,29.3396,35.9973,6.6578
600M,chip_042_092_merged.tif,0.8,2,307074839,208,27.4509,35.7455,8.2946
600M,chip_042_092_merged.tif,0.8,3,2073951856,208,27.4508,34.2407,6.79
600M,chip_042_092_merged.tif,0.8,4,1594006338,208,29.3385,35.9465,6.608
600M,chip_047_106_merged.tif,0.2,0,1540040360,50,36.5318,40.1615,3.6297
600M,chip_047_106_merged.tif,0.2,1,1060094842,50,36.5533,39.6767,3.1233
600M,chip_047_106_merged.tif,0.2,2,679488211,50,35.9262,38.9486,3.0224
600M,chip_047_106_merged.tif,0.2,3,199542693,50,37.7074,40.0966,2.3892
600M,chip_047_106_merged.tif,0.2,4,1966419710,50,36.5749,39.5537,2.9788
600M,chip_047_106_merged.tif,0.4,0,1280086140,100,37.5578,40.4831,2.9253
600M,chip_047_106_merged.tif,0.4,1,899479509,100,33.0978,39.4307,6.3329
600M,chip_047_106_merged.tif,0.4,2,419533991,100,33.3824,38.3731,4.9907
600M,chip_047_106_merged.tif,0.4,3,38927360,100,35.8314,39.9441,4.1127
600M,chip_047_106_merged.tif,0.4,4,1805804377,100,33.382,39.6789,6.2969
600M,chip_047_106_merged.tif,0.6,0,536787933,154,34.0024,39.2302,5.2278
600M,chip_047_106_merged.tif,0.6,1,156181302,154,35.543,38.1085,2.5655
600M,chip_047_106_merged.tif,0.6,2,1923058319,154,34.0001,38.8442,4.8441
600M,chip_047_106_merged.tif,0.6,3,1443112801,154,32.7101,39.4081,6.698
600M,chip_047_106_merged.tif,0.6,4,1062506170,154,33.9167,39.4905,5.5738
600M,chip_047_106_merged.tif,0.8,0,153534624,208,32.6388,36.7703,4.1315
600M,chip_047_106_merged.tif,0.8,1,1821072754,208,32.6366,37.2887,4.6521
600M,chip_047_106_merged.tif,0.8,2,1440466123,208,31.9487,37.4472,5.4986
600M,chip_047_106_merged.tif,0.8,3,960520605,208,33.2968,37.2918,3.995
600M,chip_047_106_merged.tif,0.8,4,579913974,208,32.6388,37.6645,5.0257
600M,chip_051_235_merged.tif,0.2,0,1828844630,50,31.9598,38.5017,6.5419
600M,chip_051_235_merged.tif,0.2,1,1448237999,50,32.6142,38.935,6.3208
600M,chip_051_235_merged.tif,0.2,2,968292481,50,37.8147,39.1427,1.328
600M,chip_051_235_merged.tif,0.2,3,587685850,50,35.2726,40.2552,4.9826
600M,chip_051_235_merged.tif,0.2,4,107740332,50,33.7056,39.7417,6.0361
600M,chip_051_235_merged.tif,0.4,0,763569560,100,35.3202,38.6623,3.342
600M,chip_051_235_merged.tif,0.4,1,382962929,100,34.0712,38.4107,4.3395
600M,chip_051_235_merged.tif,0.4,2,2356298,100,32.6234,38.1602,5.5367
600M,chip_051_235_merged.tif,0.4,3,1669894428,100,35.6327,38.931,3.2983
600M,chip_051_235_merged.tif,0.4,4,1289287797,100,33.0403,38.247,5.2067
600M,chip_051_235_merged.tif,0.6,0,924931090,154,32.5639,36.3253,3.7613
600M,chip_051_235_merged.tif,0.6,1,444985572,154,33.8739,36.9343,3.0604
600M,chip_051_235_merged.tif,0.6,2,64378941,154,33.9909,37.2548,3.2639
600M,chip_051_235_merged.tif,0.6,3,1831255958,154,33.874,36.8594,2.9854
600M,chip_051_235_merged.tif,0.6,4,1351310440,154,34.5222,38.1205,3.5983
600M,chip_051_235_merged.tif,0.8,0,442338894,208,32.176,35.957,3.781
600M,chip_051_235_merged.tif,0.8,1,61732263,208,31.9984,36.2103,4.2119
600M,chip_051_235_merged.tif,0.8,2,1729270393,208,32.2553,35.2506,2.9953
600M,chip_051_235_merged.tif,0.8,3,1348663762,208,32.1757,33.4538,1.278
600M,chip_051_235_merged.tif,0.8,4,868718244,208,31.9992,35.5473,3.5481
600M,chip_053_176_merged.tif,0.2,0,1908118620,50,44.3557,43.1695,-1.1862
600M,chip_053_176_merged.tif,0.2,1,1428173102,50,42.4469,43.0674,0.6206
600M,chip_053_176_merged.tif,0.2,2,1047566471,50,41.0758,44.1308,3.0549
