backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr_logged,block_psnr_replay,block_psnr_diff,random_psnr_logged,random_psnr_replay,random_psnr_diff,block_mae,random_mae
tiny,chip_039_111_merged.tif,0.4,2,706096539,78,34.8679,34.8679,-0.0,36.3778,36.3778,0.0,0.011529,0.009876
tiny,chip_039_111_merged.tif,0.4,3,325489908,78,34.8685,34.8685,-0.0,37.1883,37.1883,0.0,0.011529,0.009166
tiny,chip_039_111_merged.tif,0.4,4,1993028038,78,33.6944,33.6944,-0.0,36.4629,36.4629,-0.0,0.012257,0.009713
tiny,chip_039_111_merged.tif,0.6,0,823350481,117,35.3895,35.3895,-0.0,36.3934,36.3934,-0.0,0.010697,0.009911
tiny,chip_039_111_merged.tif,0.6,1,442743850,117,35.2934,35.2934,-0.0,36.9425,36.9425,0.0,0.010808,0.009333
tiny,chip_039_111_merged.tif,0.6,2,2110281980,117,34.8539,34.8539,0.0,35.4247,35.4247,-0.0,0.012007,0.010748
tiny,chip_039_111_merged.tif,0.6,3,1729675349,117,34.9926,34.9926,-0.0,37.0675,37.0675,-0.0,0.011709,0.009161
tiny,chip_039_111_merged.tif,0.6,4,1249729831,117,34.7078,34.7078,-0.0,36.6993,36.6993,0.0,0.011433,0.009583
tiny,chip_039_111_merged.tif,0.8,0,340758285,156,35.487,35.487,-0.0,35.4734,35.4734,-0.0,0.010911,0.010509
tiny,chip_039_111_merged.tif,0.8,1,2107635302,156,34.3613,34.3613,-0.0,35.3189,35.3189,-0.0,0.011625,0.010712
tiny,chip_039_111_merged.tif,0.8,2,1627689784,156,35.287,35.287,0.0,35.1751,35.1751,-0.0,0.011235,0.010866
tiny,chip_039_111_merged.tif,0.8,3,1247083153,156,35.5815,35.5815,0.0,35.5962,35.5962,0.0,0.010846,0.010522
tiny,chip_039_111_merged.tif,0.8,4,767137635,156,35.7401,35.7401,-0.0,35.3596,35.3596,0.0,0.010457,0.010678
tiny,chip_042_092_merged.tif,0.2,0,406649076,39,31.8048,31.8048,-0.0,35.572,35.572,-0.0,0.016311,0.010778
tiny,chip_042_092_merged.tif,0.2,1,2074187206,39,30.5425,30.5425,0.0,35.0035,35.0035,0.0,0.019002,0.010949
tiny,chip_042_092_merged.tif,0.2,2,1693580575,39,29.8452,29.8452,0.0,35.5107,35.5107,0.0,0.020099,0.010338
tiny,chip_042_092_merged.tif,0.2,3,1312973944,39,29.9056,29.9056,0.0,35.3886,35.3886,0.0,0.020027,0.010333
tiny,chip_042_092_merged.tif,0.2,4,833028426,39,26.4133,26.4133,0.0,34.1593,34.1593,0.0,0.026661,0.012573
tiny,chip_042_092_merged.tif,0.4,0,1488857654,78,30.9501,30.9501,0.0,36.2399,36.2399,-0.0,0.017371,0.009531
tiny,chip_042_092_merged.tif,0.4,1,1108251023,78,30.9499,30.9499,-0.0,34.3694,34.3694,-0.0,0.017372,0.010828
tiny,chip_042_092_merged.tif,0.4,2,727644392,78,30.9474,30.9474,0.0,33.5661,33.5661,-0.0,0.017375,0.011242
tiny,chip_042_092_merged.tif,0.4,3,247698874,78,30.9505,30.9505,0.0,35.5611,35.5611,0.0,0.017369,0.009681
tiny,chip_042_092_merged.tif,0.4,4,2014575891,78,25.3726,25.3726,0.0,36.7097,36.7097,0.0,0.033177,0.009189
tiny,chip_042_092_merged.tif,0.6,0,1650219184,117,28.7289,28.7289,0.0,35.4473,35.4473,-0.0,0.022349,0.010075
tiny,chip_042_092_merged.tif,0.6,1,1170273666,117,29.186,29.186,-0.0,35.493,35.493,0.0,0.021627,0.010658
tiny,chip_042_092_merged.tif,0.6,2,789667035,117,28.5229,28.5229,0.0,34.601,34.601,-0.0,0.023873,0.011088
tiny,chip_042_092_merged.tif,0.6,3,309721517,117,29.0895,29.0895,0.0,33.3696,33.3696,-0.0,0.021804,0.011785
tiny,chip_042_092_merged.tif,0.6,4,2076598534,117,26.2531,26.2531,-0.0,31.8308,31.8308,-0.0,0.029066,0.012473
tiny,chip_042_092_merged.tif,0.8,0,1167626988,156,26.2034,26.2034,-0.0,33.1355,33.1355,0.0,0.028113,0.013102
