backbone,chip,mask_ratio,trial,trial_seed,block_h_patches,block_w_patches,block_area_frac,global_mae,global_psnr,global_ssim,block_mae,block_psnr,block_ssim
300M,chip_234_445_merged.tif,0.4,3,655349707,6,13,0.398,0.007958,37.2766,0.9407,0.015063,34.2781,0.8905
300M,chip_234_445_merged.tif,0.4,4,175404189,6,13,0.398,0.008223,36.864,0.9395,0.016058,33.6772,0.8789
300M,chip_234_445_merged.tif,0.6,0,1153210280,9,13,0.5969,0.012964,33.6487,0.8928,0.017837,31.9484,0.8532
300M,chip_234_445_merged.tif,0.6,1,772603649,9,13,0.5969,0.013623,33.5779,0.8866,0.018014,32.3855,0.8484
300M,chip_234_445_merged.tif,0.6,2,292658131,9,13,0.5969,0.013178,33.9348,0.8889,0.017379,32.6321,0.8542
300M,chip_234_445_merged.tif,0.6,3,2059535148,9,13,0.5969,0.01253,34.6269,0.8995,0.015642,33.6936,0.8775
300M,chip_234_445_merged.tif,0.6,4,1579589630,9,13,0.5969,0.014257,33.634,0.8899,0.01885,32.4267,0.8556
300M,chip_234_445_merged.tif,0.8,0,670618084,12,13,0.7959,0.02349,30.3562,0.7932,0.026677,29.8709,0.7689
300M,chip_234_445_merged.tif,0.8,1,290011453,12,13,0.7959,0.023604,30.2437,0.7857,0.026184,29.9851,0.7648
300M,chip_234_445_merged.tif,0.8,2,2056888470,12,13,0.7959,0.023736,30.3079,0.7966,0.02555,29.923,0.7797
300M,chip_234_445_merged.tif,0.8,3,1576942952,12,13,0.7959,0.02538,29.9428,0.7828,0.028206,29.483,0.7635
300M,chip_234_445_merged.tif,0.8,4,1196336321,12,13,0.7959,0.022895,30.6354,0.7939,0.02589,30.0506,0.7675
300M,chip_249_270_merged.tif,0.2,0,21240912,3,13,0.199,0.00342,40.5085,0.9761,0.013363,34.5441,0.9053
300M,chip_249_270_merged.tif,0.2,1,1788117929,3,13,0.199,0.004119,39.5149,0.9809,0.015179,33.6896,0.9328
300M,chip_249_270_merged.tif,0.2,2,1308172411,3,13,0.199,0.003129,41.5161,0.9804,0.011843,35.6311,0.9259
300M,chip_249_270_merged.tif,0.2,3,927565780,3,13,0.199,0.004666,37.7933,0.9765,0.018623,31.2496,0.9137
300M,chip_249_270_merged.tif,0.2,4,546959149,3,13,0.199,0.003877,39.5518,0.9778,0.014466,33.3928,0.9212
300M,chip_249_270_merged.tif,0.4,0,2008109227,6,13,0.398,0.009651,34.2883,0.9421,0.018979,30.9912,0.8903
300M,chip_249_270_merged.tif,0.4,1,1627502596,6,13,0.398,0.010641,34.2756,0.9467,0.021199,30.9399,0.9018
300M,chip_249_270_merged.tif,0.4,2,1147557078,6,13,0.398,0.009418,33.9543,0.9383,0.019527,30.4608,0.8753
300M,chip_249_270_merged.tif,0.4,3,766950447,6,13,0.398,0.010126,33.7279,0.9376,0.02034,30.2682,0.876
300M,chip_249_270_merged.tif,0.4,4,287004929,6,13,0.398,0.011674,33.501,0.9429,0.021417,30.7416,0.8958
300M,chip_249_270_merged.tif,0.6,0,1264811020,9,13,0.5969,0.015535,31.6643,0.8995,0.022305,29.8965,0.8649
300M,chip_249_270_merged.tif,0.6,1,884204389,9,13,0.5969,0.017113,31.8284,0.9099,0.024203,30.1478,0.8834
300M,chip_249_270_merged.tif,0.6,2,404258871,9,13,0.5969,0.016658,31.5089,0.9031,0.02378,29.8863,0.8664
300M,chip_249_270_merged.tif,0.6,3,23652240,9,13,0.5969,0.017552,31.5274,0.8972,0.02253,30.2334,0.8726
300M,chip_249_270_merged.tif,0.6,4,1691190370,9,13,0.5969,0.016989,31.3045,0.9111,0.02455,29.7233,0.8755
300M,chip_249_270_merged.tif,0.8,0,782218824,12,13,0.7959,0.024987,28.5987,0.8361,0.025397,28.8455,0.8351
300M,chip_249_270_merged.tif,0.8,1,401612193,12,13,0.7959,0.026721,28.5128,0.8358,0.029397,28.0211,0.8224
300M,chip_249_270_merged.tif,0.8,2,2069150323,12,13,0.7959,0.035491,27.398,0.8193,0.037341,27.2276,0.8141
300M,chip_249_270_merged.tif,0.8,3,1688543692,12,13,0.7959,0.026035,28.6669,0.823,0.028821,28.0971,0.806
300M,chip_249_270_merged.tif,0.8,4,1307937061,12,13,0.7959,0.027718,28.4531,0.8399,0.029343,28.1258,0.8279
300M,chip_105_104_merged.tif,0.2,0,1953942612,3,13,0.199,0.004226,39.3473,0.9685,0.013795,34.2105,0.8899
300M,chip_105_104_merged.tif,0.2,1,1473997094,3,13,0.199,0.005753,36.8849,0.952,0.02113,30.9094,0.8061
300M,chip_105_104_merged.tif,0.2,2,1093390463,3,13,0.199,0.00496,38.436,0.9654,0.013527,34.7648,0.9174
300M,chip_105_104_merged.tif,0.2,3,712783832,3,13,0.199,0.004392,39.4464,0.9707,0.015633,33.5725,0.8983
300M,chip_105_104_merged.tif,0.2,4,232838314,3,13,0.199,0.004209,39.2787,0.9678,0.013635,34.4321,0.8931
300M,chip_105_104_merged.tif,0.4,0,1793327279,6,13,0.398,0.010471,33.8212,0.9196,0.020078,30.7637,0.8509
300M,chip_105_104_merged.tif,0.4,1,1313381761,6,13,0.398,0.011222,33.6024,0.9073,0.021442,30.5379,0.82
300M,chip_105_104_merged.tif,0.4,2,932775130,6,13,0.398,0.011352,33.7047,0.9087,0.022335,30.4158,0.8166
300M,chip_105_104_merged.tif,0.4,3,452829612,6,13,0.398,0.009831,34.4578,0.9237,0.018588,31.512,0.8613
300M,chip_105_104_merged.tif,0.4,4,72222981,6,13,0.398,0.010751,33.591,0.9177,0.021939,30.2602,0.8326
300M,chip_105_104_merged.tif,0.6,0,1050029072,9,13,0.5969,0.020209,30.4491,0.8293,0.025667,29.4188,0.7897
300M,chip_105_104_merged.tif,0.6,1,570083554,9,13,0.5969,0.018155,30.753,0.8466,0.026505,28.9695,0.7789
300M,chip_105_104_merged.tif,0.6,2,189476923,9,13,0.5969,0.018636,30.5985,0.835,0.026868,28.8301,0.7612
300M,chip_105_104_merged.tif,0.6,3,1857015053,9,13,0.5969,0.018196,30.6565,0.8459,0.026667,28.8085,0.7714
300M,chip_105_104_merged.tif,0.6,4,1476408422,9,13,0.5969,0.020186,29.948,0.8384,0.02855,28.1442,0.7689
300M,chip_105_104_merged.tif,0.8,0,567436876,12,13,0.7959,0.030802,27.5711,0.7186,0.034581,27.0464,0.6867
300M,chip_105_104_merged.tif,0.8,1,87491358,12,13,0.7959,0.029633,27.6878,0.7323,0.032875,27.1187,0.7053
300M,chip_105_104_merged.tif,0.8,2,1854368375,12,13,0.7959,0.027539,28.1593,0.7431,0.032273,27.3809,0.6989
300M,chip_105_104_merged.tif,0.8,3,1473761744,12,13,0.7959,0.031156,27.5853,0.7306,0.033375,27.2562,0.7145
300M,chip_105_104_merged.tif,0.8,4,993816226,12,13,0.7959,0.028581,27.9687,0.7412,0.032876,27.2342,0.7039
300M,chip_138_474_merged.tif,0.2,0,77003929,3,13,0.199,0.005725,37.6536,0.9512,0.017855,32.7918,0.8423
300M,chip_138_474_merged.tif,0.2,1,1843880946,3,13,0.199,0.0055,37.9808,0.955,0.020221,32.0559,0.8388
