chip,mask_ratio,trial,block_psnr,random_psnr
chip_268_410,0.2,9,31.6581252232087,35.575116765862944
chip_268_410,0.2,10,32.50618030211713,36.136262960971465
chip_268_410,0.2,11,29.521108874556433,36.59965088472599
chip_268_410,0.2,12,32.000196979261595,36.46981102119282
chip_268_410,0.2,13,30.526454641303367,37.13011077326606
chip_268_410,0.2,14,31.486483459436275,35.77984567014426
chip_268_410,0.2,15,27.737671453983012,36.44496279042109
chip_268_410,0.2,16,28.30697570804205,36.42485810051664
chip_268_410,0.2,17,29.984036997422805,35.90444792000403
chip_268_410,0.2,18,29.601049582545244,35.86715083461966
chip_268_410,0.2,19,31.5653501291904,36.10111730631139
chip_268_410,0.2,20,30.746920772853148,36.16917027742079
chip_268_410,0.2,21,31.66837702763711,36.55115927342931
chip_268_410,0.2,22,29.562436231837893,36.55547287871624
chip_268_410,0.2,23,28.998218039067744,36.499534383637005
chip_268_410,0.2,24,29.861228900097537,37.11534756242753
chip_268_410,0.2,25,32.10300434809233,36.17981223894433
chip_268_410,0.2,26,30.773932683077977,36.016191219156546
chip_268_410,0.2,27,32.65763288424817,36.7134352688115
chip_268_410,0.2,28,32.73909140763933,35.16030997543001
chip_268_410,0.2,29,30.962872104578963,37.04796518634363
chip_268_410,0.2,30,31.62868004055251,36.190674349143045
chip_268_410,0.2,31,32.001679702228714,36.133270364929224
chip_268_410,0.2,32,33.24046045241859,36.098023495890196
chip_268_410,0.2,33,31.174797090949454,35.939678969921275
chip_268_410,0.2,34,33.05012932702572,37.051811274752495
chip_268_410,0.2,35,32.6409979774432,36.756887797461204
chip_268_410,0.2,36,29.52213775547254,37.373900889196534
chip_268_410,0.2,37,29.629747094935478,36.61397303454422
chip_268_410,0.2,38,31.796570811493574,36.74731144734317
chip_268_410,0.2,39,32.14536545349749,37.05027710890062
chip_268_410,0.2,40,31.684072756412945,35.67417023905824
chip_268_410,0.2,41,29.75048650223954,36.54694154911492
chip_268_410,0.2,42,31.798191747989843,36.47665138274349
chip_268_410,0.2,43,29.984852613509712,35.71006884268014
chip_268_410,0.2,44,32.33141860309506,35.58392580784449
chip_268_410,0.2,45,30.745924117999657,36.45878243087612
chip_268_410,0.2,46,28.319562912252096,35.8752802904093
chip_268_410,0.2,47,29.723744417454107,36.51995795378014
chip_268_410,0.2,48,32.152681286671026,36.87392746269296
chip_268_410,0.2,49,30.12272331782569,35.743946305179705
chip_268_410,0.4,0,29.292694166057792,33.150053745387005
chip_268_410,0.4,1,30.011887190547295,33.58330492562164
chip_268_410,0.4,2,29.76909789016181,35.67457219155984
chip_268_410,0.4,3,29.34595207389505,33.40227020189982
chip_268_410,0.4,4,29.241858049041582,36.14119690105025
chip_268_410,0.4,5,28.86696176998808,35.77777647018509
chip_268_410,0.4,6,30.18142343455811,35.215073853037204
chip_268_410,0.4,7,28.710330371836775,35.02494577736804
chip_268_410,0.4,8,30.22426332619707,35.89271051711316
chip_268_410,0.4,9,31.664956328089076,35.992719902776074
chip_268_410,0.4,10,29.232430698499034,35.31740729473896
chip_268_410,0.4,11,29.707580462485346,34.57665031883939
chip_268_410,0.4,12,28.86577400346383,35.88913224594683
chip_268_410,0.4,13,30.2397680213501,36.12494368715788
chip_268_410,0.4,14,28.003187643097206,36.723387061510884
chip_268_410,0.4,15,29.217740755586064,35.55992454691604
chip_268_410,0.4,16,28.96634883997406,36.134933153932856
chip_268_410,0.4,17,31.170046280490006,35.21535651739214
chip_268_410,0.4,18,30.01291595667777,35.93068379741859
chip_268_410,0.4,19,31.323324366101257,35.729252982762155
chip_268_410,0.4,20,29.70455221509903,35.34271626852393
chip_268_410,0.4,21,29.232085837020417,35.36599187176789
chip_268_410,0.4,22,30.514846434986968,35.73034618937545
chip_268_410,0.4,23,29.47153162421859,36.91215039417791
chip_268_410,0.4,24,30.224103349301636,36.02011487776635
chip_268_410,0.4,25,29.769645407306335,35.66656396760188
chip_268_410,0.4,26,30.11491126602376,35.79784817202602
chip_268_410,0.4,27,29.707300654427613,35.86992033097242
chip_268_410,0.4,28,30.18932711256848,35.25664355885657
chip_268_410,0.4,29,29.81672104814907,34.49521778842511
