chip,ratio,trial,psnr
chip_268_410_merged.tif,0.8,48,20.2692
chip_268_410_merged.tif,0.8,49,20.2692
chip_105_452_merged.tif,0.2,0,42.5252
chip_105_452_merged.tif,0.2,1,44.0157
chip_105_452_merged.tif,0.2,2,40.0343
chip_105_452_merged.tif,0.2,3,33.6323
chip_105_452_merged.tif,0.2,4,42.0193
chip_105_452_merged.tif,0.2,5,42.2203
chip_105_452_merged.tif,0.2,6,44.0157
chip_105_452_merged.tif,0.2,7,40.5018
chip_105_452_merged.tif,0.2,8,40.8214
chip_105_452_merged.tif,0.2,9,42.8968
chip_105_452_merged.tif,0.2,10,42.0193
chip_105_452_merged.tif,0.2,11,45.0008
chip_105_452_merged.tif,0.2,12,41.1223
chip_105_452_merged.tif,0.2,13,41.8448
chip_105_452_merged.tif,0.2,14,43.2868
chip_105_452_merged.tif,0.2,15,40.5018
chip_105_452_merged.tif,0.2,16,43.2202
chip_105_452_merged.tif,0.2,17,42.0798
chip_105_452_merged.tif,0.2,18,40.4908
chip_105_452_merged.tif,0.2,19,42.699
chip_105_452_merged.tif,0.2,20,40.0343
chip_105_452_merged.tif,0.2,21,45.0277
chip_105_452_merged.tif,0.2,22,40.8214
chip_105_452_merged.tif,0.2,23,45.0674
chip_105_452_merged.tif,0.2,24,46.0215
chip_105_452_merged.tif,0.2,25,40.9923
chip_105_452_merged.tif,0.2,26,41.4358
chip_105_452_merged.tif,0.2,27,45.0674
chip_105_452_merged.tif,0.2,28,42.2203
chip_105_452_merged.tif,0.2,29,31.7642
chip_105_452_merged.tif,0.2,30,45.2602
chip_105_452_merged.tif,0.2,31,41.8452
chip_105_452_merged.tif,0.2,32,38.3416
chip_105_452_merged.tif,0.2,33,41.4358
chip_105_452_merged.tif,0.2,34,39.9191
chip_105_452_merged.tif,0.2,35,45.756
chip_105_452_merged.tif,0.2,36,44.401
chip_105_452_merged.tif,0.2,37,44.4814
chip_105_452_merged.tif,0.2,38,45.6914
chip_105_452_merged.tif,0.2,39,40.1184
chip_105_452_merged.tif,0.2,40,43.4335
chip_105_452_merged.tif,0.2,41,41.8069
chip_105_452_merged.tif,0.2,42,43.0624
chip_105_452_merged.tif,0.2,43,43.0667
chip_105_452_merged.tif,0.2,44,40.2003
chip_105_452_merged.tif,0.2,45,40.1184
chip_105_452_merged.tif,0.2,46,41.8452
chip_105_452_merged.tif,0.2,47,43.0624
chip_105_452_merged.tif,0.2,48,45.756
chip_105_452_merged.tif,0.2,49,45.7986
chip_105_452_merged.tif,0.4,0,37.9132
chip_105_452_merged.tif,0.4,1,37.4443
chip_105_452_merged.tif,0.4,2,36.1854
chip_105_452_merged.tif,0.4,3,30.3492
chip_105_452_merged.tif,0.4,4,37.3298
chip_105_452_merged.tif,0.4,5,36.8043
chip_105_452_merged.tif,0.4,6,37.4443
chip_105_452_merged.tif,0.4,7,37.1751
chip_105_452_merged.tif,0.4,8,37.2429
chip_105_452_merged.tif,0.4,9,36.3201
chip_105_452_merged.tif,0.4,10,37.3298
chip_105_452_merged.tif,0.4,11,31.6926
chip_105_452_merged.tif,0.4,12,36.4078
chip_105_452_merged.tif,0.4,13,36.2984
chip_105_452_merged.tif,0.4,14,37.3637
chip_105_452_merged.tif,0.4,15,37.1751
chip_105_452_merged.tif,0.4,16,37.4443
chip_105_452_merged.tif,0.4,17,37.4276
chip_105_452_merged.tif,0.4,18,36.5575
chip_105_452_merged.tif,0.4,19,37.0742
chip_105_452_merged.tif,0.4,20,35.212
chip_105_452_merged.tif,0.4,21,36.8878
chip_105_452_merged.tif,0.4,22,37.2429
chip_105_452_merged.tif,0.4,23,37.9874
chip_105_452_merged.tif,0.4,24,37.4344
chip_105_452_merged.tif,0.4,25,36.9581
chip_105_452_merged.tif,0.4,26,36.9639
chip_105_452_merged.tif,0.4,27,37.9874
chip_105_452_merged.tif,0.4,28,36.8043
chip_105_452_merged.tif,0.4,29,30.1211
chip_105_452_merged.tif,0.4,30,38.2211
chip_105_452_merged.tif,0.4,31,36.416
chip_105_452_merged.tif,0.4,32,35.212
chip_105_452_merged.tif,0.4,33,36.9639
chip_105_452_merged.tif,0.4,34,31.6926
chip_105_452_merged.tif,0.4,35,38.8534
chip_105_452_merged.tif,0.4,36,37.2166
chip_105_452_merged.tif,0.4,37,37.7002
chip_105_452_merged.tif,0.4,38,38.1162
chip_105_452_merged.tif,0.4,39,36.9639
chip_105_452_merged.tif,0.4,40,37.0513
chip_105_452_merged.tif,0.4,41,36.4169
chip_105_452_merged.tif,0.4,42,37.4432
chip_105_452_merged.tif,0.4,43,37.3129
chip_105_452_merged.tif,0.4,44,31.16
chip_105_452_merged.tif,0.4,45,37.1751
chip_105_452_merged.tif,0.4,46,36.416
chip_105_452_merged.tif,0.4,47,37.4432
chip_105_452_merged.tif,0.4,48,38.8534
chip_105_452_merged.tif,0.4,49,38.8534
chip_105_452_merged.tif,0.6,0,27.1266
chip_105_452_merged.tif,0.6,1,28.5074
chip_105_452_merged.tif,0.6,2,27.1266
chip_105_452_merged.tif,0.6,3,27.1266
chip_105_452_merged.tif,0.6,4,27.1266
chip_105_452_merged.tif,0.6,5,27.1266
chip_105_452_merged.tif,0.6,6,28.5074
chip_105_452_merged.tif,0.6,7,27.1266
chip_105_452_merged.tif,0.6,8,27.1327
chip_105_452_merged.tif,0.6,9,28.477
chip_105_452_merged.tif,0.6,10,27.1266
chip_105_452_merged.tif,0.6,11,27.5739
chip_105_452_merged.tif,0.6,12,27.1327
chip_105_452_merged.tif,0.6,13,27.1266
chip_105_452_merged.tif,0.6,14,30.0481
chip_105_452_merged.tif,0.6,15,27.1266
chip_105_452_merged.tif,0.6,16,28.5074
chip_105_452_merged.tif,0.6,17,27.1266
chip_105_452_merged.tif,0.6,18,27.1266
chip_105_452_merged.tif,0.6,19,28.6905
chip_105_452_merged.tif,0.6,20,27.1266
chip_105_452_merged.tif,0.6,21,29.4011
chip_105_452_merged.tif,0.6,22,27.1327
chip_105_452_merged.tif,0.6,23,30.0825
chip_105_452_merged.tif,0.6,24,29.8675
chip_105_452_merged.tif,0.6,25,27.4899
chip_105_452_merged.tif,0.6,26,27.1266
chip_105_452_merged.tif,0.6,27,30.0825
chip_105_452_merged.tif,0.6,28,27.1266
chip_105_452_merged.tif,0.6,29,27.1266
chip_105_452_merged.tif,0.6,30,27.5739
chip_105_452_merged.tif,0.6,31,28.477
chip_105_452_merged.tif,0.6,32,27.1266
chip_105_452_merged.tif,0.6,33,27.1266
chip_105_452_merged.tif,0.6,34,27.5739
chip_105_452_merged.tif,0.6,35,30.1574
chip_105_452_merged.tif,0.6,36,27.6362
chip_105_452_merged.tif,0.6,37,30.0825
chip_105_452_merged.tif,0.6,38,29.8675
chip_105_452_merged.tif,0.6,39,27.1266
chip_105_452_merged.tif,0.6,40,28.5074
chip_105_452_merged.tif,0.6,41,27.1266
chip_105_452_merged.tif,0.6,42,30.0481
chip_105_452_merged.tif,0.6,43,28.5074
chip_105_452_merged.tif,0.6,44,27.0908
chip_105_452_merged.tif,0.6,45,27.1266
chip_105_452_merged.tif,0.6,46,28.477
chip_105_452_merged.tif,0.6,47,30.0825
chip_105_452_merged.tif,0.6,48,30.1574
chip_105_452_merged.tif,0.6,49,30.1574
chip_105_452_merged.tif,0.8,0,22.5646
chip_105_452_merged.tif,0.8,1,22.5646
chip_105_452_merged.tif,0.8,2,22.5646
chip_105_452_merged.tif,0.8,3,22.5646
chip_105_452_merged.tif,0.8,4,22.5646
chip_105_452_merged.tif,0.8,5,22.5646
chip_105_452_merged.tif,0.8,6,22.5646
chip_105_452_merged.tif,0.8,7,22.5646
chip_105_452_merged.tif,0.8,8,22.5646
chip_105_452_merged.tif,0.8,9,22.5646
chip_105_452_merged.tif,0.8,10,22.5646
chip_105_452_merged.tif,0.8,11,22.5646
chip_105_452_merged.tif,0.8,12,22.5646
chip_105_452_merged.tif,0.8,13,22.5646
chip_105_452_merged.tif,0.8,14,22.5646
chip_105_452_merged.tif,0.8,15,22.5646
chip_105_452_merged.tif,0.8,16,22.5646
chip_105_452_merged.tif,0.8,17,22.5646
chip_105_452_merged.tif,0.8,18,22.5646
chip_105_452_merged.tif,0.8,19,22.5646
chip_105_452_merged.tif,0.8,20,22.5646
chip_105_452_merged.tif,0.8,21,22.5646
chip_105_452_merged.tif,0.8,22,22.5646
chip_105_452_merged.tif,0.8,23,22.5646
chip_105_452_merged.tif,0.8,24,22.5646
chip_105_452_merged.tif,0.8,25,22.5646
chip_105_452_merged.tif,0.8,26,22.5646
chip_105_452_merged.tif,0.8,27,22.5646
chip_105_452_merged.tif,0.8,28,22.5646
chip_105_452_merged.tif,0.8,29,22.5646
chip_105_452_merged.tif,0.8,30,22.5646
