backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block,block_rmse,random_rmse
tiny,chip_116_448_merged.tif,0.6,3,1463347331,117,33.7443,35.191,1.4467,0.020548730673182386,0.017396024073803026
tiny,chip_116_448_merged.tif,0.6,4,983401813,117,32.8639,34.5132,1.6493,0.022740761320141953,0.018807886704113944
tiny,chip_116_448_merged.tif,0.8,0,74430267,156,33.3895,35.1618,1.7723,0.02140548143081273,0.01745460399039618
tiny,chip_116_448_merged.tif,0.8,1,1841307284,156,33.3618,35.2466,1.8848,0.021473854196281592,0.017285024521769013
tiny,chip_116_448_merged.tif,0.8,2,1361361766,156,32.8185,34.2753,1.4568,0.022859935463892922,0.019330140024455433
tiny,chip_116_448_merged.tif,0.8,3,980755135,156,34.0227,33.9576,-0.0651,0.019900546363617353,0.020050259599793997
tiny,chip_116_448_merged.tif,0.8,4,600148504,156,33.3493,34.8032,1.4539,0.02150477980405872,0.01819030579516218
tiny,chip_117_438_merged.tif,0.2,0,1587294993,39,30.9517,32.643,1.6913,0.02834098890126526,0.02332652253584845
tiny,chip_117_438_merged.tif,0.2,1,1107349475,39,31.0429,32.3563,1.3134,0.028044971305957858,0.024109322146436976
tiny,chip_117_438_merged.tif,0.2,2,726742844,39,29.8767,33.3632,3.4865,0.032074877027497964,0.021470393298845168
tiny,chip_117_438_merged.tif,0.2,3,246797326,39,29.3541,31.9934,2.6393,0.0340639494803386,0.025137958214889594
tiny,chip_117_438_merged.tif,0.2,4,2013674343,39,29.4212,32.5331,3.1118,0.033801813404898774,0.023623541228649327
tiny,chip_117_438_merged.tif,0.4,0,1327340773,78,29.8379,32.5788,2.741,0.0322184764785542,0.023499574570433023
tiny,chip_117_438_merged.tif,0.4,1,946734142,78,29.924,33.8176,3.8937,0.031900684359752116,0.02037605011000877
tiny,chip_117_438_merged.tif,0.4,2,566127511,78,30.803,32.8857,2.0827,0.028830355659367417,0.022683757717950493
tiny,chip_117_438_merged.tif,0.4,3,86181993,78,29.8556,31.7598,1.9042,0.032152888909487164,0.025823196500573572
tiny,chip_117_438_merged.tif,0.4,4,1853059010,78,29.0938,32.9801,3.8863,0.035100233050130256,0.02243856090286135
tiny,chip_117_438_merged.tif,0.6,0,584042566,117,27.0601,32.1704,5.1103,0.04436035367275788,0.024630884062103706
tiny,chip_117_438_merged.tif,0.6,1,203435935,117,30.7933,31.6139,0.8206,0.02886257005216774,0.026260621490622787
tiny,chip_117_438_merged.tif,0.6,2,1970312952,117,29.1174,31.7908,2.6735,0.035004993391607425,0.02573119760423727
tiny,chip_117_438_merged.tif,0.6,3,1490367434,117,30.1346,31.96,1.8254,0.031136514863287564,0.02523480772480574
tiny,chip_117_438_merged.tif,0.6,4,1109760803,117,30.2131,31.5943,1.3812,0.030856381827444056,0.026319946368999564
tiny,chip_117_438_merged.tif,0.8,0,200789257,156,28.5984,30.5194,1.921,0.037160367471945704,0.02978722185161548
tiny,chip_117_438_merged.tif,0.8,1,1868327387,156,28.5937,30.7348,2.141,0.037180480666580064,0.029057617323924582
tiny,chip_117_438_merged.tif,0.8,2,1487720756,156,29.1122,30.9734,1.8612,0.03502595617965034,0.02827027284383761
tiny,chip_117_438_merged.tif,0.8,3,1007775238,156,29.2229,31.3338,2.1109,0.0345823896651427,0.02712126861017016
tiny,chip_117_438_merged.tif,0.8,4,627168607,156,28.5851,31.6412,3.0561,0.03721731172182783,0.026178213178543186
tiny,chip_118_448_merged.tif,0.2,0,2008067573,39,32.6904,34.0266,1.3362,0.023199573451255753,0.019891612942565886
tiny,chip_118_448_merged.tif,0.2,1,1627460942,39,33.516,35.8535,2.3376,0.021095994327111896,0.016118513970866666
tiny,chip_118_448_merged.tif,0.2,2,1147515424,39,34.1194,35.6086,1.4892,0.019680222311711043,0.016579445444014233
tiny,chip_118_448_merged.tif,0.2,3,766908793,39,34.2358,35.6549,1.419,0.01941824606058895,0.016491304093971548
tiny,chip_118_448_merged.tif,0.2,4,386302162,39,33.1164,36.0673,2.9508,0.02208920064073317,0.01572660576437953
tiny,chip_118_448_merged.tif,0.4,0,1847452240,78,34.099,35.4056,1.3066,0.019726498327468,0.01697149107194204
tiny,chip_118_448_merged.tif,0.4,1,1466845609,78,33.6446,35.8018,2.1572,0.020785955826232844,0.016214740401632996
tiny,chip_118_448_merged.tif,0.4,2,986900091,78,34.0914,35.0894,0.9981,0.01974376621849072,0.01760070240947279
tiny,chip_118_448_merged.tif,0.4,3,606293460,78,34.0682,35.2888,1.2206,0.019796572283620494,0.01720124968869812
tiny,chip_118_448_merged.tif,0.4,4,126347942,78,33.2746,36.4592,3.1845,0.021690521810770153,0.015032804169571728
tiny,chip_118_448_merged.tif,0.6,0,1104154033,117,34.6793,35.9662,1.287,0.0184516411584618,0.015910726117949754
tiny,chip_118_448_merged.tif,0.6,1,723547402,117,34.6422,35.3983,0.7561,0.018530622122931672,0.016985760647845755
tiny,chip_118_448_merged.tif,0.6,2,243601884,117,33.764,36.1407,2.3767,0.020502178012019832,0.015594268228092612
tiny,chip_118_448_merged.tif,0.6,3,2010478901,117,34.4199,35.7312,1.3113,0.019011001670218325,0.01634707292369848
tiny,chip_118_448_merged.tif,0.6,4,1530533383,117,34.6851,35.9607,1.2757,0.018439324193820956,0.01592080415358795
tiny,chip_118_448_merged.tif,0.8,0,621561837,156,33.5214,35.2007,1.6793,0.021082883066200313,0.017376607841926805
tiny,chip_118_448_merged.tif,0.8,1,240955206,156,33.7085,34.7827,1.0743,0.020633599661869766,0.01823328834296908
tiny,chip_118_448_merged.tif,0.8,2,1908493336,156,33.4451,35.3464,1.9013,0.021268898563382068,0.017087557933247757
tiny,chip_118_448_merged.tif,0.8,3,1527886705,156,33.4839,34.0902,0.6064,0.021174101959318393,0.019746494109028827
tiny,chip_118_448_merged.tif,0.8,4,1147280074,156,33.3471,34.969,1.6219,0.021510227318309226,0.01784637440691729
tiny,chip_119_126_merged.tif,0.2,0,1045083369,39,32.3264,35.3821,3.0557,0.024192458236548475,0.017017470248346687
tiny,chip_119_126_merged.tif,0.2,1,565137851,39,32.3262,36.3571,4.0308,0.02419301529489881,0.015210552870523716
tiny,chip_119_126_merged.tif,0.2,2,184531220,39,30.7794,37.6291,6.8497,0.02890879570354548,0.01313847623975251
tiny,chip_119_126_merged.tif,0.2,3,1951408237,39,29.8421,36.3431,6.501,0.03220290122993959,0.015235089153726844
tiny,chip_119_126_merged.tif,0.2,4,1471462719,39,35.1554,36.761,1.6055,0.017467469757242532,0.014519444466828561
tiny,chip_119_126_merged.tif,0.4,0,884468036,78,31.9148,35.4566,3.5418,0.025366467957364542,0.016872133380318403
tiny,chip_119_126_merged.tif,0.4,1,404522518,78,29.9357,36.0727,6.137,0.03185774267418003,0.015716831604023162
tiny,chip_119_126_merged.tif,0.4,2,23915887,78,32.7904,35.0757,2.2853,0.02293401012995983,0.017628485388124362
tiny,chip_119_126_merged.tif,0.4,3,1691454017,78,32.1922,36.0096,3.8173,0.024569142544441473,0.015831424714328298
tiny,chip_119_126_merged.tif,0.4,4,1310847386,78,31.56,35.2998,3.7398,0.026424087573219474,0.01717947943915435
tiny,chip_119_126_merged.tif,0.6,0,141169829,117,31.4878,35.2282,3.7403,0.026644648785896684,0.017321679553285074
tiny,chip_119_126_merged.tif,0.6,1,1808707959,117,31.4604,35.2203,3.76,0.026728833150034676,0.01733744115319686
tiny,chip_119_126_merged.tif,0.6,2,1428101328,117,33.3819,35.3182,1.9363,0.021424219045289468,0.017143125322434043
tiny,chip_119_126_merged.tif,0.6,3,948155810,117,31.2952,35.0234,3.7282,0.027242063442431876,0.017734951290147512
tiny,chip_119_126_merged.tif,0.6,4,567549179,117,32.283,35.5318,3.2488,0.024313641006250535,0.01672668968842481
tiny,chip_119_126_merged.tif,0.8,0,1806061281,156,31.4391,33.71,2.2709,0.026794459447888504,0.02063003667310708
tiny,chip_119_126_merged.tif,0.8,1,1326115763,156,32.4713,33.31,0.8387,0.02379222180807942,0.02160230034774742
tiny,chip_119_126_merged.tif,0.8,2,945509132,156,31.5144,32.4725,0.958,0.026563176012670366,0.023788935018212186
tiny,chip_119_126_merged.tif,0.8,3,564902501,156,31.2124,34.5903,3.3779,0.027502995641383587,0.018641677910660806
tiny,chip_119_126_merged.tif,0.8,4,84956983,156,31.2155,33.7675,2.5521,0.027493181554709544,0.020493918274615802
tiny,chip_119_323_merged.tif,0.2,0,316076292,39,29.7324,31.075,1.3425,0.03261219271253028,0.027941518214619387
tiny,chip_119_323_merged.tif,0.2,1,2082953309,39,30.3026,32.3327,2.0301,0.030540068020094745,0.024174917462589606
tiny,chip_119_323_merged.tif,0.2,2,1702346678,39,30.7365,30.9957,0.2592,0.029051930731330455,0.028197785334890695
tiny,chip_119_323_merged.tif,0.2,3,1222401160,39,30.2004,31.4894,1.289,0.0309015312242651,0.02663974111223581
tiny,chip_119_323_merged.tif,0.2,4,841794529,39,30.2068,32.3935,2.1867,0.030878770521000562,0.0240062873387484
tiny,chip_119_323_merged.tif,0.4,0,155460959,78,29.411,31.3584,1.9474,0.03384153081212327,0.027044564975249204
tiny,chip_119_323_merged.tif,0.4,1,1922337976,78,30.3805,32.2695,1.889,0.030267391899728963,0.024351459741879328
tiny,chip_119_323_merged.tif,0.4,2,1442392458,78,28.7887,31.5697,2.781,0.03635507123937309,0.02639459484492344
tiny,chip_119_323_merged.tif,0.4,3,1061785827,78,29.8069,31.5072,1.7002,0.03233366988397797,0.026585204171636265
tiny,chip_119_323_merged.tif,0.4,4,681179196,78,28.6448,31.2735,2.6287,0.036962386163576014,0.02731020750787775
tiny,chip_119_323_merged.tif,0.6,0,1559646400,117,29.0062,30.5577,1.5516,0.035456021331652286,0.0296561657278144
tiny,chip_119_323_merged.tif,0.6,1,1179039769,117,30.0231,30.6934,0.6704,0.03153878800964787,0.029196446723459987
tiny,chip_119_323_merged.tif,0.6,2,699094251,117,28.9692,31.0997,2.1305,0.0356073784133204,0.027862173995076626
tiny,chip_119_323_merged.tif,0.6,3,318487620,117,29.8279,30.7185,0.8907,0.032255590730965025,0.029112198245109685
tiny,chip_119_323_merged.tif,0.6,4,2085364637,117,28.3155,30.499,2.1835,0.038390608867763104,0.02985726343579722
tiny,chip_119_323_merged.tif,0.8,0,1077054204,156,28.9093,30.6727,1.7634,0.035853784184841295,0.029266109958947954
