chip_idx,backbone,mask_ratio,mae,psnr,ssim,masked_mae,masked_psnr,masked_ssim,time_sec
21,tiny,0.9,0.018496,30.1051,0.808609,0.021201,29.5125,0.775613,0.19
22,tiny,0.1,0.000893,46.8163,0.992909,0.009727,36.4464,0.914675,0.06
22,tiny,0.2,0.00205,43.1293,0.984327,0.010857,35.8887,0.911006,0.08
22,tiny,0.3,0.002971,41.1325,0.978524,0.010782,35.5338,0.912527,0.12
22,tiny,0.4,0.004603,38.459,0.964613,0.012029,34.287,0.896975,0.11
22,tiny,0.5,0.006486,37.0418,0.949718,0.01284,34.0755,0.892094,0.13
22,tiny,0.6,0.011416,32.5429,0.912024,0.018191,30.5194,0.847832,0.15
22,tiny,0.7,0.012043,32.9304,0.903686,0.017104,31.4066,0.855257,0.16
22,tiny,0.8,0.016573,31.0752,0.876757,0.020429,30.1666,0.838917,0.18
22,tiny,0.9,0.023618,27.8576,0.818369,0.026604,27.3406,0.795342,0.19
23,tiny,0.1,0.001176,45.4345,0.989779,0.010978,35.7341,0.895473,0.06
23,tiny,0.2,0.002128,42.3655,0.982565,0.010695,35.3536,0.905201,0.08
23,tiny,0.3,0.004094,38.6597,0.96525,0.012346,33.8662,0.881634,0.11
23,tiny,0.4,0.004303,38.1724,0.961556,0.012223,33.6383,0.87488,0.1
23,tiny,0.5,0.005915,37.6403,0.948311,0.011953,34.5855,0.886665,0.13
23,tiny,0.6,0.009334,34.6708,0.913385,0.014292,32.8204,0.857505,0.15
23,tiny,0.7,0.010666,33.9161,0.896849,0.015372,32.3289,0.838532,0.16
23,tiny,0.8,0.015941,31.1413,0.840285,0.019528,30.2599,0.789649,0.18
23,tiny,0.9,0.022695,28.9171,0.77751,0.024712,28.5472,0.749558,0.19
24,tiny,0.1,0.0007,48.6186,0.995441,0.008072,38.0005,0.943662,0.06
24,tiny,0.2,0.002059,43.5711,0.986504,0.008771,37.2761,0.943148,0.08
24,tiny,0.3,0.002523,43.2541,0.983671,0.008381,38.0401,0.942299,0.09
24,tiny,0.4,0.004582,39.0109,0.967693,0.010692,35.3312,0.92032,0.11
24,tiny,0.5,0.005075,38.2417,0.965969,0.010812,34.957,0.924674,0.13
24,tiny,0.6,0.006123,37.7983,0.957485,0.010528,35.4448,0.921899,0.15
24,tiny,0.7,0.008796,35.1468,0.94141,0.012677,33.5596,0.911688,0.16
24,tiny,0.8,0.016296,30.5695,0.896619,0.020088,29.6609,0.873015,0.18
24,tiny,0.9,0.024762,28.0849,0.838704,0.026814,27.7391,0.825879,0.2
25,tiny,0.1,0.000907,46.9498,0.992662,0.00889,37.0375,0.921787,0.06
25,tiny,0.2,0.001642,45.1003,0.987413,0.007483,38.5124,0.940504,0.08
25,tiny,0.3,0.002684,41.659,0.97685,0.008769,36.518,0.918401,0.1
25,tiny,0.4,0.003755,40.2507,0.966138,0.009559,36.193,0.905349,0.12
25,tiny,0.5,0.004454,39.0357,0.959822,0.00992,35.558,0.900449,0.12
25,tiny,0.6,0.0072,36.1525,0.931896,0.011759,34.0218,0.880553,0.15
25,tiny,0.7,0.009905,34.4338,0.905657,0.013207,33.1844,0.867105,0.17
25,tiny,0.8,0.011474,33.818,0.895909,0.014234,32.882,0.865034,0.18
25,tiny,0.9,0.018581,30.9205,0.837457,0.02012,30.5747,0.823586,0.2
26,tiny,0.1,0.001136,44.6173,0.992154,0.012366,34.2474,0.906247,0.1
26,tiny,0.2,0.001991,42.412,0.986467,0.011475,34.8042,0.915804,0.07
26,tiny,0.3,0.003387,38.4559,0.974144,0.013275,32.523,0.889356,0.09
26,tiny,0.4,0.005481,37.0302,0.959609,0.012788,33.3504,0.892798,0.12
26,tiny,0.5,0.007326,35.1593,0.941521,0.014804,32.1045,0.869124,0.13
26,tiny,0.6,0.009968,32.9629,0.910388,0.016989,30.6473,0.825795,0.15
26,tiny,0.7,0.015059,30.0038,0.858751,0.021083,28.5425,0.779583,0.16
26,tiny,0.8,0.021665,28.094,0.788521,0.02558,27.3725,0.727543,0.18
26,tiny,0.9,0.029727,26.2205,0.690435,0.033294,25.7283,0.640899,0.19
27,tiny,0.1,0.001437,42.6599,0.99029,0.011739,33.5394,0.908564,0.06
27,tiny,0.2,0.002127,43.2134,0.98662,0.010422,36.3114,0.937091,0.09
27,tiny,0.3,0.002639,41.9552,0.98165,0.010778,35.8451,0.921715,0.09
27,tiny,0.4,0.005069,38.283,0.964439,0.012903,34.2254,0.899794,0.11
27,tiny,0.5,0.007857,34.4556,0.947362,0.015247,31.5762,0.894393,0.14
27,tiny,0.6,0.01036,32.7868,0.923877,0.018629,30.2385,0.842415,0.14
27,tiny,0.7,0.01393,31.5885,0.888141,0.0187,30.3094,0.845048,0.17
27,tiny,0.8,0.020418,28.8863,0.827442,0.024703,28.0589,0.778671,0.18
27,tiny,0.9,0.034037,25.8814,0.72436,0.036858,25.5356,0.692951,0.2
28,tiny,0.1,0.001077,44.557,0.993498,0.012418,33.9389,0.919793,0.06
28,tiny,0.2,0.002358,40.5435,0.984425,0.013207,33.0616,0.901602,0.15
28,tiny,0.3,0.003424,38.7453,0.977218,0.012664,33.0655,0.904873,0.11
28,tiny,0.4,0.006508,34.8403,0.950617,0.015945,30.9486,0.86194,0.11
28,tiny,0.5,0.00949,32.9685,0.927472,0.017885,30.2163,0.847979,0.13
28,tiny,0.6,0.011821,31.5017,0.903712,0.018991,29.4427,0.826514,0.15
28,tiny,0.7,0.017432,28.6011,0.850871,0.026485,26.7845,0.744398,0.15
