tile,mask_type,ratio,trial,cubic_mae,cubic_rmse,cubic_psnr,cubic_mae_tailexcl,cubic_rmse_tailexcl,cubic_psnr_tailexcl,linear_mae_forcompare,linear_rmse_forcompare
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,6,0.0005313361282038949,0.0010709876075546613,59.404311087597534,0.0005313361282038947,0.0010709876075546613,59.404311087597534,0.0006391014718772249,0.0013946837962302537
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,7,0.017147729914639514,0.08654583367045132,21.255076685750907,0.0011363132531549188,0.0024772562570037544,52.12058131966562,0.008668213280223888,0.037320083127544326
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,8,0.01424406535746897,0.10883791457740126,19.26439576493194,0.00043665294687577895,0.0011932817475244762,58.465140046147766,0.0011377269684354444,0.0023397528046071167
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,9,0.0013696332329197224,0.0029508851185210227,50.60095395546719,0.0013424592720317505,0.002933803531780943,50.6513794589367,0.00235413064636307,0.004847156875940617
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,10,0.0012949952678010625,0.00865180067080117,41.257869896929705,0.0004727011528473117,0.00105516820777937,59.53356605116692,0.002710580002020549,0.015300592322386576
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,11,0.0004564846304246421,0.0011263455077136586,58.966567374829836,0.000456484630424642,0.0011263455077136586,58.966567374829836,0.0008065031638043175,0.0018490774815673476
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,12,0.03884085974826355,0.3795655313679474,8.41426466126877,0.0006063615701768175,0.0015329086277069196,56.2896746284877,0.0032141154162364997,0.015628890974629956
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,13,0.0005587300988235369,0.001254704579434811,58.029170338227736,0.0005173506497608176,0.0011617748179198106,58.69756082638146,0.0010564860594204583,0.001950293612957209
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,14,0.019683022800857253,0.181117394343271,14.840796769032474,0.0006269697759592762,0.0012384883404849953,58.14216155284853,0.0029674977464522246,0.015345507421150557
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,15,0.004055259706367702,0.027275346610110773,31.28459443539588,0.000838319398865814,0.0024950519219897735,52.05840824570946,0.008599095787957816,0.041005407324288805
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,16,0.01419048310582652,0.10803790006462588,19.328477315905815,0.0005087389359733666,0.001453131535540441,56.753901443236224,0.0010381847656602292,0.0022783773765432144
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,17,0.0032231677988150713,0.017234764436825433,35.27189296224976,0.0032231677988150717,0.01723476443682543,35.27189296224976,0.004151494835348448,0.020752398937128803
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,18,0.0012571002954128137,0.0032598056134123554,49.7361659344657,0.0008686653440575909,0.0019849475205803123,54.045019418558084,0.0040017917072242,0.016126722831154666
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,19,0.000574000699974728,0.0015783576900322985,56.03589138876889,0.000574000699974728,0.0015783576900322985,56.03589138876889,0.0008063680366154685,0.0016695223073295423
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,20,0.004152593739105117,0.032141560231776514,29.858660906397752,0.0006395644715665408,0.0014416367762266793,56.82288294699238,0.005450568163652586,0.03612264848486155
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,21,0.01718814621281778,0.0908510883173065,20.83339731706505,0.0010172151782537483,0.003087366291741385,50.208236836694525,0.01083995776166707,0.04197351260050156
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,22,0.004110337907161871,0.03213347537305614,29.860846021980937,0.0005957996791645708,0.0012410415277510534,58.12427371778726,0.005583489207985969,0.03614199591630414
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,23,0.0007167843013488402,0.0022721511233201423,52.87125573174373,0.0007167843013488402,0.0022721511233201423,52.87125573174373,0.0007131415521943462,0.0015428953482112119
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,24,0.0009916662610911016,0.002167978783209785,53.27889944617857,0.0009096334401748156,0.0020410038275197637,53.80312361690687,0.0011208396589949957,0.002231235233645203
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,25,0.000489281540077472,0.0009216124605413984,60.70903324118228,0.0004466628136802873,0.0007816545688528833,62.13970258546744,0.0008936270550197551,0.001778149987895017
