tile,mask_type,ratio,trial,mae,rmse,psnr,mae_tailexcl,rmse_tailexcl,psnr_tailexcl,o2a_mae,o2a_n_masked,tail_mae,tail_n_masked,tile_radiance_min,tile_radiance_max
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,33,0.007982710962469886,0.0393337382008014,28.104695542778018,0.0013084906263049257,0.0034425774535607194,49.26232559788776,0.003375855453633258,1,0.19486088037508875,2,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,34,0.0010605471212340734,0.0024135840047414645,52.34675161943511,0.0010605471212340734,0.0024135840047414645,52.34675161943511,0.006540215593224872,3,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,35,0.0015759439230009554,0.004038040622256026,47.87658632828892,0.0015759439230009554,0.004038040622256026,47.87658632828892,0.018603421355236866,2,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,36,0.005736202307023153,0.036179851688417204,28.830664355402504,0.0009392660289194879,0.0019132769375078717,54.36444326828151,0.00023741075813135353,1,0.093680034072257,3,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,37,0.001243161333798263,0.003309737293515409,49.60412952934639,0.001243161333798263,0.003309737293515409,49.60412952934639,0.004231684896362897,3,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,38,0.00186165309888308,0.004886176372968692,46.22061721297168,0.001789220063732116,0.004849834548186823,46.285461541501654,0.012481417822868365,3,0.005990336102488004,1,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,39,0.0010943535881797544,0.0023145325966774234,52.71073396919441,0.0010294902199675614,0.002226359172096056,53.04809541749008,0.009768854158039512,1,0.0047915655762747495,1,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,40,0.001238153793151822,0.003158978645666994,50.00906619731541,0.001238153793151822,0.003158978645666994,50.00906619731541,0.009768854158039512,1,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,41,0.007902234007709539,0.03976949864897423,28.008997677568,0.0032326563753963763,0.016831353482127852,35.47761918234368,0.00881592370848762,1,0.27406815904955983,1,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,42,0.00688543757017394,0.03336331715782398,29.53461552056669,0.0007445667142008879,0.0017065398092481004,55.3576715255548,nan,0,0.1788298215374194,2,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,43,0.0032868831316246743,0.016674730153717492,35.55882371038684,0.003286883131624674,0.01667473015371749,35.55882371038685,0.003375855453633258,1,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,44,0.006510199842135456,0.035271324877303896,29.05156453724523,0.001453307695737073,0.002812147559200305,51.01923789448735,0.00844462392552624,2,0.07477824381851364,4,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,45,0.0010383509844861625,0.0022212085604702727,53.068213228770276,0.0010115687383125006,0.0021893254871802863,53.19379334079295,0.006047799982561778,3,0.0025649390163848696,1,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,46,0.0015408842610332928,0.0037596200504643297,48.497120858491826,0.0015408842610332928,0.0037596200504643297,48.497120858491826,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,47,0.0010327449377972157,0.002100760647654963,53.552468531359736,0.000886525312406652,0.0018016300511803046,54.88668765477062,0.0008784721468946393,1,0.005126894448732996,2,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,48,0.0014565507798692408,0.0028385135907997164,50.93818044064249,0.0013980417483533546,0.0027756339045760933,51.13275632419444,0.006572354805836386,2,0.0047915655762747495,1,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,49,0.000982091398159456,0.002882705933623258,50.80399315930116,0.000982091398159456,0.0028827059336232587,50.80399315930116,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,0,0.041286196322486736,0.045273862180972374,26.883049110608063,0.041286196322486736,0.045273862180972374,26.883049110608063,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,1,0.014325719029357909,0.015434720953380495,36.23002435571097,0.014325719029357909,0.015434720953380495,36.23002435571097,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,2,0.022580029656659548,0.024604335709130162,32.17976711920535,0.022580029656659548,0.024604335709130162,32.17976711920535,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,3,0.01969588651032047,0.026205003348379916,31.632315609376334,0.01969588651032047,0.026205003348379916,31.632315609376334,0.05899143641592468,7,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,4,0.016192807179420367,0.018181769131667934,34.80727722234703,0.016192807179420367,0.018181769131667934,34.80727722234703,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,5,0.03364462840212399,0.037665919936982886,28.481028421430565,0.03364462840212399,0.037665919936982886,28.481028421430565,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,6,0.021867316337698135,0.023719514525144154,32.49788408120494,0.021867316337698135,0.023719514525144154,32.49788408120494,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,7,0.4359521391372936,0.7310459394234897,2.72110661648614,0.3023366347329187,0.35475979116026685,9.001312188688413,0.1892787449478829,7,2.2397614485963544,8,0.0017520143883302808,0.4716784954071045
