tile,tile_had_nan,trial,mask_type,mask_ratio,n_bands_masked,mae,rmse,psnr_db,n_values_excluded_nan,n_values_total
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,5,contiguous,0.2,58,0.012158126379510713,0.014358841453927225,36.85761199639286,15834,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,5,scattered,0.2,58,0.003447465020923141,0.01745371002753462,35.16224487182931,2981,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,6,contiguous,0.2,58,0.015322788947193675,0.021636998589634363,33.29605966462155,12264,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,6,scattered,0.2,58,0.0031762967585377516,0.013219828826862878,37.575483363013895,1651,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,7,contiguous,0.2,58,0.021529130790638614,0.04089417037047995,27.76677196033286,9229,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,7,scattered,0.2,58,0.002603557268970743,0.015177826970898652,36.37580804984154,2667,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,8,contiguous,0.2,58,0.029590660164058865,0.04053495235336951,27.843406662718657,12412,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,8,scattered,0.2,58,0.005044909029431239,0.020826520098562874,33.627665804354095,2343,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,9,contiguous,0.2,58,0.007775428200632005,0.011379526465229424,38.87751619610667,12029,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,9,scattered,0.2,58,0.004653468778743062,0.0285053557458745,30.901470692911992,3430,534528
PACE_OCI.20250219T235538.L1B.V3_image_156.npy,True,0,contiguous,0.2,58,0.01617303332183709,0.033256924193977744,29.562358389974456,25926,534528
